Position,Job Skills,Experience_job,Job Location,Name,Skills,Experience_candidate,Location,Final Score
Software Engineer,"Python, Java, React, SQL, Git",0-2 years,"New York, USA",John Smith,"Python, Java, React, SQL, Git",2 years,"Boston, USA",92.00000000000001
Software Engineer,"Python, Java, React, SQL, Git",0-2 years,"New York, USA",Emily Johnson,"Python, C++, JavaScript, AWS, Git",1 years,"Los Angeles, USA",54.56097092818448
Software Engineer,"Python, Java, React, SQL, Git",0-2 years,"New York, USA",William Carter,"C++, Kubernetes, Docker, Microservices",0 years,"Dallas, USA",40.0
Software Engineer,"Python, Java, React, SQL, Git",0-2 years,"New York, USA",Marco Romano,"JavaScript, Node.js, GraphQL, TypeScript",5 years,"Milan, Italy",35.0
Software Engineer,"Python, Java, React, SQL, Git",0-2 years,"New York, USA",Amelia Collins,"Swift, Kotlin, Mobile App Development",1 years,"Melbourne, Australia",30.0
Software Engineer,"Python, Java, React, SQL, Git",0-2 years,"New York, USA",Marco Romano,"JavaScript, Node.js, GraphQL, TypeScript",3 years,"Milan, Italy",33.0
Software Engineer,"Python, Java, React, SQL, Git",0-2 years,"New York, USA",Amelia Collins,"Swift, Kotlin, Mobile App Development",1 year,"Melbourne, Australia",30.0
Software Engineer,"Python, Java, React, SQL, Git",0-2 years,"New York, USA",Tariq Al-Mansoor,"Python, Django, Cloud Computing",4 years,"Dubai, UAE",40.367976489739675
Software Engineer,"Python, Java, React, SQL, Git",0-2 years,"New York, USA",Priyanka Joshi,"C++, React, SQL",2 years,"Mumbai, India",57.11643891128359
Data Scientist,"Machine Learning, Statistics, Python, SQL",1-2 years,"San Francisco, USA",Rahul Sharma,"Machine Learning, Statistics, Python, SQL",0 years,"Chicago, USA",80.00000000000001
Data Scientist,"Machine Learning, Statistics, Python, SQL",1-2 years,"San Francisco, USA",Aisha Khan,"Deep Learning, NLP, Python, R",3 years,"Toronto, Canada",47.56097092818448
